Date,IDs,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Time,Road_Type,Speed_limit,Junction_Control,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area
21/01/2012,392,392,392,392,392,392,392,392,392,234,392,392,392,392,392,392
21/02/2012,525,525,525,525,525,525,525,525,525,323,525,525,525,525,525,525
21/03/2012,503,503,503,503,503,503,503,503,503,312,503,503,503,503,503,503
21/04/2012,423,423,423,423,423,423,423,423,423,248,423,423,423,423,423,423
21/05/2012,461,461,461,461,461,461,461,461,461,327,461,461,461,461,460,461
21/06/2012,547,547,547,547,547,547,547,547,547,343,547,547,547,547,546,547
21/07/2012,449,449,449,449,449,449,449,449,449,277,449,449,449,449,448,449
21/08/2012,478,478,478,478,478,478,478,478,478,298,478,478,478,478,478,478
21/09/2012,599,599,599,599,599,599,599,599,599,405,599,599,599,599,598,599
21/10/2012,380,380,380,380,380,380,380,380,380,243,380,380,380,380,380,380
21/11/2012,630,630,630,630,630,630,630,630,630,408,630,630,630,630,630,630
21/12/2012,572,572,572,572,572,572,572,572,572,330,572,572,572,572,572,572
22/01/2012,274,274,274,274,274,274,274,274,274,181,274,274,274,274,274,274
22/02/2012,523,523,523,523,523,523,523,523,523,350,523,523,523,523,520,523
22/03/2012,485,485,485,485,485,485,485,485,485,295,485,485,485,485,485,485
22/04/2012,341,341,341,341,341,341,341,341,341,209,341,341,341,341,340,341
22/05/2012,551,551,551,551,551,551,551,551,551,366,551,551,551,551,551,551
22/06/2012,540,540,540,540,540,540,540,540,540,319,540,540,540,540,540,540
22/07/2012,421,421,421,421,421,421,421,421,421,216,421,421,421,421,420,421
22/08/2012,449,449,449,449,449,449,449,449,449,307,449,449,449,449,448,449
22/09/2012,538,538,538,538,538,538,538,538,538,323,538,538,538,538,537,538
22/10/2012,491,491,491,491,491,491,491,491,491,307,491,491,491,491,491,491
22/11/2012,627,627,627,627,627,627,627,627,627,383,627,627,627,627,626,627
22/12/2012,475,475,475,475,475,475,475,475,475,304,475,475,475,475,475,475
23/01/2012,516,516,516,516,516,516,516,516,516,344,516,516,516,516,516,516
23/02/2012,622,622,622,622,622,622,622,622,622,408,622,622,622,622,622,622
23/03/2012,533,533,533,533,533,533,533,533,533,347,533,533,533,533,533,533
23/04/2012,489,489,489,489,489,489,489,489,489,302,489,489,489,489,487,489
23/05/2012,547,547,547,547,547,547,547,547,547,336,547,547,547,547,546,547
23/06/2012,409,409,409,409,409,409,409,409,409,263,409,409,409,409,407,409
23/07/2012,610,610,610,610,610,610,610,610,610,385,610,610,610,610,610,610
23/08/2012,455,455,455,455,455,455,455,455,455,300,455,455,455,455,454,455
23/09/2012,414,414,414,414,414,414,414,414,414,239,414,414,414,414,414,414
23/10/2012,462,462,462,462,462,462,462,462,462,293,462,462,462,462,462,462
23/11/2012,645,645,645,645,645,645,645,645,645,437,645,645,645,645,644,645
23/12/2012,312,312,312,312,312,312,312,312,312,186,312,312,312,312,311,312
24/01/2012,540,540,540,540,540,540,540,540,540,333,540,540,540,540,540,540
24/02/2012,602,602,602,602,602,602,602,602,602,395,602,602,602,602,601,602
24/03/2012,473,473,473,473,473,473,473,473,473,298,473,473,473,473,473,473
24/04/2012,495,495,495,495,495,495,495,495,495,309,495,495,495,495,494,495
24/05/2012,583,583,583,583,583,583,583,583,583,366,583,583,583,583,583,583
24/06/2012,383,383,383,383,383,383,383,383,383,223,383,383,383,383,383,383
24/07/2012,589,589,589,589,589,589,589,589,589,393,589,589,589,589,589,589
24/08/2012,537,537,537,537,537,537,537,537,537,346,537,537,537,537,537,537
24/09/2012,582,582,582,582,582,582,582,582,582,341,582,582,582,582,582,582
24/10/2012,497,497,497,497,497,497,497,497,497,316,497,497,497,497,496,497
24/11/2012,468,468,468,468,468,468,468,468,468,283,468,468,468,468,464,468
24/12/2012,395,395,395,395,395,395,395,395,395,234,395,395,395,395,394,395
25/01/2012,536,536,536,536,536,536,536,536,536,345,536,536,536,536,536,536
25/02/2012,453,453,453,453,453,453,453,453,453,284,453,453,453,453,453,453
25/03/2012,425,425,425,425,425,425,425,425,425,256,425,425,425,425,424,425
25/04/2012,571,571,571,571,571,571,571,571,571,376,571,571,571,571,570,571
25/05/2012,748,748,748,748,748,748,748,748,748,489,748,748,748,748,747,748
25/06/2012,471,471,471,471,471,471,471,471,471,286,471,471,471,471,470,471
25/07/2012,590,590,590,590,590,590,590,590,590,380,590,590,590,590,590,590
25/08/2012,500,500,500,500,500,500,500,500,500,282,500,500,500,500,500,500
25/09/2012,594,594,594,594,594,594,594,594,594,401,594,594,594,594,593,594
25/10/2012,522,522,522,522,522,522,522,522,522,341,522,522,522,522,521,522
25/11/2012,386,386,386,386,386,386,386,386,386,217,386,386,386,386,385,386
